,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
0,A. Jayson Adair,Adair,a-jayson-adair,no-pic,-12.191,52.0,damaged cars,Automotive,M,United States,1639104902515,TX,Texas,1376.511,2210.0,2210.0,https://specials-images.forbesimg.com/imageserve/5fb529400560bf6784deea95/416x416.jpg?background=000000&cropX1=887&cropX2=1362&cropY1=707&cropY2=1183,,,,,,,
1,Abhay Soi,Soi,abhay-soi,no-pic,31.453,48.0,healthcare,Healthcare,M,India,1639104902515,,,1078.053,2576.0,2576.0,https://specials-images.forbesimg.com/imageserve/612e3dde1434aca16b4d05fb/416x416.jpg?background=000000&cropX1=150&cropX2=827&cropY1=0&cropY2=678,,,,,,,
2,Adam Foroughi,Foroughi,adam-foroughi,no-pic,-147.507,41.0,mobile games,Media & Entertainment,M,United States,1639104902515,CA,California,2536.112,1337.0,1337.0,,,,,,,,
3,Adam Neumann,Neumann,adam-neumann,adam-neumann,-19.834,42.0,WeWork ,Real Estate,M,Israel,1639104902515,NY,New York,1498.747,2081.0,2081.0,//specials-images.forbesimg.com/imageserve/5e76cb36c7b02d000666d2bc/416x416.jpg?background=000000&cropX1=1807&cropX2=3763&cropY1=132&cropY2=2086,,,,,,,
4,Alan Miller & family,Miller,alan-miller-1,no-pic,-5.252,84.0,healthcare services,Healthcare,M,United States,1639104902515,PA,Pennsylvania,1260.555,2338.0,2338.0,,,,,,,,
5,Alan Rydge,Rydge,alan-rydge,alan-rydge,-11.143,69.0,entertainment,Media & Entertainment,M,Australia,1639104902515,,,1091.347,2558.0,2558.0,https://specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,,,,,,,
6,Albert Avdolyan,Avdolyan,albert-avdolyan,no-pic,2.094,51.0,"oil, mining",Energy,M,Russia,1639104902515,,,1096.222,2549.0,2549.0,,,,,,,,
7,Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,-21.611,81.0,automotive brakes,Automotive,M,Italy,1639104902515,,,2692.642,1255.0,1255.0,,,,,,,,
8,Alberto Prada,Prada,alberto-prada,no-pic,-23.644,67.0,luxury goods,Fashion & Retail,M,Italy,1639104902515,,,2251.58,1479.0,1479.0,,,,,,,,
9,Alex Beard,Beard,alex-beard,alex-beard,-5.815,54.0,"mining, commodities",Metals & Mining,M,United Kingdom,1639104902515,,,1803.269,1781.0,1781.0,//specials-images.forbesimg.com/imageserve/5c7278914bbe6f51818abdca/416x416.jpg?background=000000&cropX1=1150&cropX2=4556&cropY1=15&cropY2=3419,,,,,,,
10,Alex Birkenstock,Birkenstock,alex-birkenstock,no-pic,0.0,53.0,shoes,Fashion & Retail,M,Germany,1639104902515,,,1637.579,1929.0,1929.0,,,,,,,,
11,Alex Shevchenko,Shevchenko,alex-shevchenko,no-pic,0.0,41.0,software,Technology,M,Ukraine,1639104902515,,British Columbia,4000.0,799.0,799.0,https://specials-images.forbesimg.com/imageserve/61a552d47ccd1331f306c32e/416x416.jpg?background=000000&cropX1=798&cropX2=2775&cropY1=171&cropY2=2146,,,,,,,
12,Alexander Knauf,Knauf,alexander-knauf,no-pic,0.0,47.0,building materials,Manufacturing,M,Germany,1639104902515,,,1109.146,2532.0,2532.0,,,,,,,,
13,Alexander Lutsenko & family,Lutsenko,alexander-lutsenko,alexander-lutsenko,0.0,59.0,agribusiness,Food & Beverage,M,Russia,1639104902515,,,1122.041,2515.0,2515.0,,,,,,,,
14,Alexander Samwer,Samwer,alexander-samwer,alexander-samwer,3.317,46.0,tech investments,Technology,M,Germany,1639104902515,,,1243.139,2366.0,2366.0,//specials-images.forbesimg.com/imageserve/5a7e055ea7ea431690131ce8/416x416.jpg?background=000000&cropX1=8&cropX2=1711&cropY1=127&cropY2=1829,,,,,,,
15,Alexander Tedja,Tedja,alexander-tedja,alexander-tedja,-13.828,76.0,real estate,Real Estate,M,Indonesia,1639104902515,,,1126.939,2505.0,2505.0,https://specials-images.forbesimg.com/imageserve/61b1225c4c0e96bec2c07bcd/416x416.jpg?background=000000&cropX1=223&cropX2=957&cropY1=0&cropY2=734,,,,,,,
16,Alexis Lê-Quôc,Lê-Quôc,alexis-le-quoc,no-pic,-144.609,47.0,cloud computing,Technology,M,United States,1639104902515,NY,New York,3658.029,899.0,899.0,//specials-images.forbesimg.com/imageserve/5ebd9e4a59928a0006430948/416x416.jpg?background=000000&cropX1=669&cropX2=3182&cropY1=420&cropY2=2931,,,,,,,
17,Alfred Eckert,Eckert,alfred-eckert,no-pic,0.0,,,,,United States,1639104902515,,,1046.192,2604.0,2604.0,,,,,,,,
18,Alfred West Jr,West,alfred-west-jr,no-pic,-15.87,79.0,money management,Finance & Investments,M,United States,1639104902515,PA,Pennsylvania,1394.489,2184.0,2184.0,,,,,,,,
19,Ali Erdemoglu,Erdemoglu,ali-erdemoglu,no-pic,44.529,62.0,carpet,Manufacturing,M,Turkey,1639104902515,,,1552.545,2011.0,2011.0,https://specials-images.forbesimg.com/imageserve/606b3801fb2da6f71fd2b915/416x416.jpg?background=000000&cropX1=0&cropX2=958&cropY1=0&cropY2=958,,,,,,,
20,Ali Ghodsi,Ghodsi,ali-ghodsi,no-pic,0.0,43.0,data analytics,Technology,M,Sweden,1639104902515,CA,California,1800.0,1786.0,1786.0,,,,,,,,
21,Aloke Lohia,Lohia,aloke-lohia,aloke-lohia,0.0,63.0,petrochemicals,Manufacturing,M,India,1639104902515,,,2193.786,1527.0,1527.0,//specials-images.forbesimg.com/imageserve/5e782b2cd8e1ae0007b73ae9/416x416.jpg?background=000000&cropX1=379&cropX2=3247&cropY1=82&cropY2=2947,,,,,,,
22,Amnon Shashua,Shashua,amnon-shashua,no-pic,0.0,61.0,automotive technology,Automotive,M,Israel,1639104902515,,,1380.0,2206.0,2206.0,,,,,,,,
23,An Shu,An,an-shu,no-pic,-13.671,,commercial services,,M,United States,1639104902515,,Jiangsu,1217.261,2397.0,2397.0,,,,,,,,
24,Analjit Singh,Singh,analjit-singh,analjit-singh,-0.828,67.0,healthcare,Healthcare,M,India,1639104902515,,,999.84,2657.0,2657.0,//specials-images.forbesimg.com/imageserve/5a7f04ee31358e4955ad1755/416x416.jpg?background=000000&cropX1=2503&cropX2=4372&cropY1=16&cropY2=1884,,,,,,,
25,Anand Deshpande,Deshpande,anand-deshpande,no-pic,15.464,59.0,technology,Technology,M,India,1639104902515,,,1330.632,2258.0,2258.0,https://specials-images.forbesimg.com/imageserve/612f916cbe677dcb7715be56/416x416.jpg?background=000000&cropX1=324&cropX2=1974&cropY1=103&cropY2=1754,,,,,,,
26,Anant Asavabhokin,Asavabhokin,anant-asavabhokin,anant-asavabhokin,10.566,71.0,real estate,Real Estate,M,Thailand,1639104902515,,,1125.349,2506.0,2506.0,,,,,,,,
27,André Kasprzak,Kasprzak,andre-kasprzak,no-pic,0.0,35.0,shoes,Fashion & Retail,M,Denmark,1639104902515,,,1322.891,2264.0,2264.0,,,,,,,,
28,Andrea Della Valle,Della Valle,andrea-della-valle,andrea-della-valle,0.71,56.0,shoes,Fashion & Retail,M,Italy,1639104902515,,,1016.819,2633.0,2633.0,//specials-images.forbesimg.com/imageserve/5a7f82544bbe6f2652f532d7/416x416.jpg?background=000000&cropX1=0&cropX2=2158&cropY1=13&cropY2=2173,,,,,,,
29,Andrei Komarov,Komarov,andrei-komarov,andrei-komarov,0.0,55.0,manufacturing,Manufacturing,M,Russia,1639104902515,,,1367.113,2220.0,2220.0,,,,,,,,
30,Andrei Molchanov,Molchanov,andrei-molchanov,andrei-molchanov,0.0,50.0,construction materials,Construction & Engineering,M,Russia,1639104902515,,,1102.072,2536.0,2536.0,//specials-images.forbesimg.com/imageserve/5a8092b7a7ea4316901339f7/416x416.jpg?background=000000&cropX1=155&cropX2=1168&cropY1=263&cropY2=1276,,,,,,,
31,Andrew Brode,Brode,andrew-brode,no-pic,4.527,81.0,"publishing, investments",Finance & Investments,M,United Kingdom,1639104902515,,,1026.949,2624.0,2624.0,https://specials-images.forbesimg.com/imageserve/6116ab73241afc4b57c7bdbc/416x416.jpg?background=000000&cropX1=1408&cropX2=3192&cropY1=210&cropY2=1995,,,,,,,
32,Andrey Blokh,Blokh,andrey-blokh,no-pic,-20.088,57.0,cannabis,Manufacturing,M,Russia,1639104902515,,,1181.145,2439.0,2439.0,,,,,,,,
33,Andy Fang,Fang,andy-fang,no-pic,-53.668,29.0,food delivery app,Technology,M,United States,1639104902515,CA,California,2172.403,1545.0,1545.0,https://specials-images.forbesimg.com/imageserve/618e9ac85531987afd163397/416x416.jpg?background=000000&cropX1=215&cropX2=2294&cropY1=58&cropY2=2139,,,,,,,
34,Anna Kasprzak,Kasprzak,anna-kasprzak,no-pic-female,0.0,32.0,shoes,Fashion & Retail,F,Denmark,1639104902515,,,1322.891,2264.0,2265.0,//specials-images.forbesimg.com/imageserve/5c6f7ada31358e35dd26cfca/416x416.jpg?background=000000&cropX1=550&cropX2=2350&cropY1=0&cropY2=1801,,,,,,,
35,Anne Werninghaus,Werninghaus,anne-werninghaus,no-pic-female,14.394,35.0,industrial machinery,Manufacturing,F,Brazil,1639104902515,,,1146.493,2481.0,2481.0,,,,,,,,
36,Anthony Casalena,Casalena,anthony-casalena,no-pic,-78.569,39.0,,Technology,M,United States,1639104902515,MD,Maryland,1577.235,1991.0,1991.0,,,,,,,,
37,Anthony Eisen,Eisen,anthony-eisen,no-pic,-46.322,50.0,fintech,Finance & Investments,M,Australia,1639104902515,,,1442.591,2141.0,2141.0,,,,,,,,
38,Anton Rabie,Rabie,anton-rabie,no-pic,-6.814,49.0,toys,Manufacturing,M,Canada,1639104902515,,Ontario,1099.259,2545.0,2545.0,//specials-images.forbesimg.com/imageserve/5a9827414bbe6f0fa82705bd/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=105&cropY2=1305,,,,,,,
39,Antonio Marcegaglia,Marcegaglia,antonio-marcegaglia,no-pic,0.0,57.0,steel,Metals & Mining,M,Italy,1639104902515,,,1292.033,2298.0,2298.0,,,,,,,,
40,Anu Aga,Aga,anu-aga,anu-aga,68.175,79.0,engineering,Construction & Engineering,F,India,1639104902515,,,1751.972,1832.0,1832.0,//specials-images.forbesimg.com/imageserve/5a7f0b2fa7ea43169013281b/416x416.jpg?background=000000&cropX1=3&cropX2=174&cropY1=2&cropY2=173,,,,,,,
41,Anurang Jain,Jain,anurang-jain-1,no-pic,19.194,59.0,auto parts,Manufacturing,M,India,1639104902515,,,1973.934,1659.0,1659.0,//specials-images.forbesimg.com/imageserve/5d9f6c7c793bd50006ea487c/416x416.jpg?background=000000&cropX1=1786&cropX2=3590&cropY1=924&cropY2=2727,,,,,,,
42,Apoorva Mehta,Mehta,apoorva-mehta,apoorva-mehta,0.0,35.0,grocery delivery service,Technology,M,Canada,1639104902515,CA,California,3500.0,947.0,947.0,https://specials-images.forbesimg.com/imageserve/619e64a07cab8383e9dadb64/416x416.jpg?background=000000&cropX1=0&cropX2=1538&cropY1=339&cropY2=1878,,,,,,,
43,Art Levinson,Levinson,art-levinson,no-pic,-5.166,,"Genentech, Apple",,M,United States,1639104902515,,,1622.952,1941.0,1941.0,,,,,,,,
44,Artem Khachatryan,Khachatryan,artem-khachatryan,no-pic,0.0,46.0,retail,Fashion & Retail,M,Russia,1639104902515,,,3100.0,1068.0,1068.0,,,,,,,,
45,Arun Bharat Ram,Bharat Ram,arun-bharat-ram,no-pic,13.155,81.0,chemicals,Manufacturing,M,India,1639104902515,,,3208.876,1031.0,1031.0,https://specials-images.forbesimg.com/imageserve/615b1e38fc9eb8d15779c049/416x416.jpg?background=000000&cropX1=315&cropX2=1943&cropY1=295&cropY2=1922,,,,,,,
46,Arvind Lal,Lal,arvind-lal,no-pic,-11.925,72.0,medical diagnostics,Healthcare,M,India,1639104902515,,,2214.728,1510.0,1510.0,https://specials-images.forbesimg.com/imageserve/615b2e721e985ac48d218a18/416x416.jpg?background=000000&cropX1=349&cropX2=1232&cropY1=123&cropY2=1006,,,,,,,
47,Ashok Kajaria,Kajaria,ashok-kajaria,no-pic,6.014,74.0,tiles,Manufacturing,M,India,1639104902515,,,1198.09,2421.0,2421.0,,,,,,,,
48,August Troendle,Troendle,august-troendle,no-pic,-54.809,65.0,pharmaceutical services,Healthcare,M,United States,1639104902515,OH,Ohio,1837.924,1747.0,1747.0,,,,,,,,
49,Austin Russell,Russell,austin-russell,no-pic,34.063,26.0,sensors,Automotive,M,United States,1639104902515,FL,Florida,1612.817,1958.0,1958.0,https://specials-images.forbesimg.com/imageserve/619e63fac0f2a4a5f5b74f98/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,,,,,,,
50,Bai Baokun,Bai,bai-baokun,no-pic,119.169,,hardware,Manufacturing,M,China,1639104902515,,Guangdong,3450.547,961.0,961.0,,,,,,,,
51,Bai Houshan,Bai,bai-houshan,no-pic,-40.662,57.0,lithium battery,Energy,M,China,1639104902515,,Zhejiang,2441.497,1381.0,1381.0,,,,,,,,
52,Baiju Bhatt,Bhatt,baiju-bhatt,no-pic,-119.189,36.0,stock trading app,Finance & Investments,M,United States,1639104902515,CA,California,1478.973,2097.0,2097.0,https://specials-images.forbesimg.com/imageserve/6014266aa90dc9911bc77894/416x416.jpg?background=000000&cropX1=384&cropX2=1720&cropY1=287&cropY2=1624,,,,,,,
53,Balkrishan Goenka,Goenka,balkrishan-goenka,balkrishan-goenka,15.065,55.0,textiles,Manufacturing,M,India,1639104902515,,,2064.847,1598.0,1598.0,//specials-images.forbesimg.com/imageserve/55f8ca6be4b0ffa7afe49fbf/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=2&cropY2=745,,,,,,,
54,Bancha Ongkosit,Ongkosit,bancha-ongkosit,bancha-ongkosit,12.25,70.0,electronics,Manufacturing,M,Thailand,1639104902515,,,1160.6,2465.0,2465.0,https://specials-images.forbesimg.com/imageserve/60da12a57a6cdc81c1570f06/416x416.jpg?background=000000&cropX1=0&cropX2=2558&cropY1=0&cropY2=2558,,,,,,,
55,Bang Si-hyuk,Bang,bang-si-hyuk,no-pic,122.51,49.0,entertainment ,Media & Entertainment,M,South Korea,1639104902515,,,3755.203,862.0,862.0,https://specials-images.forbesimg.com/imageserve/5f88b0081d565a475c59267c/416x416.jpg?background=000000&cropX1=180&cropX2=889&cropY1=11&cropY2=720,,,,,,,
56,Barbara Benetton,Benetton,barbara-benetton,no-pic-female,7.965,52.0,"fashion retail, investments",Fashion & Retail,F,Italy,1639104902515,,,1613.715,1956.0,1956.0,,,,,,,,
57,Barry Silbert,Silbert,barry-silbert,no-pic,0.0,45.0,cryptocurrency,Finance & Investments,M,United States,1639104902515,NY,New York,1922.0,1688.0,1688.0,https://specials-images.forbesimg.com/imageserve/60637e8c89f0cca15e804891/416x416.jpg?background=000000&cropX1=825&cropX2=3105&cropY1=55&cropY2=2333,,,,,,,
58,Beatriz Davila de Santo Domingo,Davila de Santo Domingo,beatriz-davila-de-santo-domingo,no-pic-female,-19.36,82.0,beer,Food & Beverage,F,Colombia,1639104902515,,,3694.384,888.0,888.0,,,,,,,,
59,Ben Silbermann,Silbermann,ben-silbermann,ben-silbermann,-96.033,39.0,social media,Technology,M,United States,1639104902515,CA,California,2293.195,1462.0,1462.0,//specials-images.forbesimg.com/imageserve/5a9046cf4bbe6f0fa8265d45/416x416.jpg?background=000000&cropX1=150&cropX2=1533&cropY1=42&cropY2=1425,,,,,,,
60,Benjamin Otto,Otto,benjamin-otto,no-pic,0.0,,retail,Fashion & Retail,M,Germany,1639104902515,,,2760.12,1212.0,1212.0,,,,,,,,
61,Benoit Dageville,Dageville,benoit-dageville,no-pic,-71.429,55.0,software,Technology,M,United States,1639104902515,CA,California,2878.682,1142.0,1142.0,,,,,,,,
62,Bent Jensen,Jensen,bent-jensen,bent-jensen,0.0,69.0,electric linear systems,Manufacturing,M,Denmark,1639104902515,,,1025.608,2626.0,2626.0,,,,,,,,
63,Bernd Freier,Freier,bernd-freier,bernd-freier,0.0,64.0,fashion retail,Fashion & Retail,M,Germany,1639104902515,,,1509.604,2057.0,2057.0,//specials-images.forbesimg.com/imageserve/5a7e0cae31358e4955ad0dd1/416x416.jpg?background=000000&cropX1=763&cropX2=2623&cropY1=133&cropY2=1992,,,,,,,
64,Bianca Rinehart,Rinehart,bianca-rinehart,no-pic-female,0.0,44.0,mining,Metals & Mining,F,Australia,1639104902515,,,1620.767,1943.0,1943.0,//specials-images.forbesimg.com/imageserve/5a7a4b8da7ea43169012d8be/416x416.jpg?background=000000&cropX1=0&cropX2=1605&cropY1=271&cropY2=1877,,,,,,,
65,Bill and Jean Adderley & family,Adderley,bill-and-jean-adderley,no-pic,15.975,73.0,home furnishings,Fashion & Retail,M,United Kingdom,1639104902515,,,2349.39,1431.0,1431.0,,,,,,,,
66,Bill Malhotra,Malhotra,bill-malhotra,no-pic,0.0,72.0,real estate,Real Estate,M,Canada,1639104902515,,Ontario,1163.766,2459.0,2459.0,https://specials-images.forbesimg.com/imageserve/60664c552c01d690bf3ddff7/416x416.jpg?background=000000&cropX1=0&cropX2=1500&cropY1=93&cropY2=1593,,,,,,,
67,Blair Hull,Hull,blair-hull,no-pic,-2.239,,,,M,United States,1639104902515,,,1169.889,2450.0,2450.0,,,,,,,,
68,Bob Muglia,Muglia,bob-muglia,no-pic,-36.217,62.0,software,Technology,M,United States,1639104902515,WA,Washington,1799.985,1790.0,1790.0,,,,,,,,
69,Boris Jordan,Jordan,boris-jordan,no-pic,-24.159,55.0,cannabis,Manufacturing,M,United States,1639104902515,NY,New York,1512.028,2053.0,2053.0,//specials-images.forbesimg.com/imageserve/5d77ab355b52ce000882cd45/416x416.jpg?background=000000&cropX1=120&cropX2=3940&cropY1=463&cropY2=4286,,,,,,,
70,Bruce Cheng,Cheng,bruce-cheng,bruce-cheng,76.562,85.0,electronics,Technology,M,Taiwan,1639104902515,,,2193.408,1529.0,1529.0,//specials-images.forbesimg.com/imageserve/5e1e4ee9735f8c000799df1d/416x416.jpg?background=000000&cropX1=510&cropX2=1775&cropY1=299&cropY2=1564,,,,,,,
71,Bruce Mathieson,Mathieson,bruce-mathieson,bruce-mathieson,1.341,77.0,hotels,Food & Beverage,M,Australia,1639104902515,,,1038.583,2613.0,2613.0,//specials-images.forbesimg.com/imageserve/56a03ee7e4b0ed854f52942a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=197&cropY2=941,,,,,,,
72,Byron Trott,Trott,byron-trott,no-pic,-8.58,63.0,,Finance & Investments,,United States,1639104902515,IL,Illinois,1760.112,1825.0,1825.0,https://specials-images.forbesimg.com/imageserve/615b09a350df12838dfe0d77/416x416.jpg?background=000000&cropX1=57&cropX2=2092&cropY1=326&cropY2=2363,,,,,,,
73,Cai Hao & family,Cai,cai-hao,no-pic,-28.356,50.0,solar energy,Manufacturing,M,China,1639104902515,,Jiangsu,1859.966,1730.0,1730.0,,,,,,,,
74,Cai Mingtong,Cai,cai-mingtong,no-pic,-28.031,69.0,electronic components,Technology,M,China,1639104902515,,Fujian,2438.303,1387.0,1387.0,,,,,,,,
75,Cameron Winklevoss,Winklevoss,cameron-winklevoss,no-pic,0.0,40.0,cryptocurrency,Finance & Investments,M,United States,1639104902515,NY,New York,4956.0,622.0,622.0,https://specials-images.forbesimg.com/imageserve/6063c068b8ad72d9041e7cda/416x416.jpg?background=000000&cropX1=40&cropX2=691&cropY1=190&cropY2=840,,,,,,,
76,Candido Pinheiro Koren de Lima Junior,Pinheiro Koren de Lima Junior,candido-pinheiro-koren-de-lima-junior,no-pic,-12.824,51.0,"hospitals, health insurance",Healthcare,M,Brazil,1639104902515,,,1413.634,2163.0,2163.0,//specials-images.forbesimg.com/imageserve/5c6cdc1f4bbe6f3a74231e7e/416x416.jpg?background=000000&cropX1=16&cropX2=348&cropY1=3&cropY2=335,,,,,,,
77,Cao Jianwei,Cao,cao-jianwei,no-pic,74.947,43.0,semiconductors,Manufacturing,M,China,1639104902515,,Zhejiang,2365.579,1425.0,1425.0,,,,,,,,
78,Cao Kejian,Cao,cao-kejian,cao-kejian,21.032,59.0,air compressors,Manufacturing,M,China,1639104902515,,Zhejiang,1219.738,2393.0,2393.0,//specials-images.forbesimg.com/imageserve/49e29e276e6cce1a013720fcdb4c4bcc/416x416.jpg?background=000000&cropX1=0&cropX2=742&cropY1=127&cropY2=870,,,,,,,
79,Cao Renxian,Cao,cao-renxian,no-pic,-43.097,53.0,photovoltaic equipment ,Energy,M,China,1639104902515,,Anhui,10879.003,207.0,207.0,,,,,,,,
80,Cao Xiaochun,Cao,cao-xiaochun,no-pic-female,32.607,52.0,pharmaceuticals,Healthcare,F,China,1639104902515,,Zhejiang,1346.992,2238.0,2238.0,,,,,,,,
81,Cargill MacMillan III,MacMillan,cargill-macmillan-iii,no-pic,0.0,61.0,Cargill,Food & Beverage,M,United States,1639104902515,CO,Colorado,1458.311,2117.0,2117.0,,,,,,,,
82,Carl DeSantis,DeSantis,carl-desantis,no-pic,-104.435,82.0,energy drink,Food & Beverage,M,United States,1639104902515,FL,Florida,1514.264,2049.0,2049.0,https://specials-images.forbesimg.com/imageserve/606627f9a4219ee3c89db3b9/416x416.jpg?background=000000&cropX1=377&cropX2=1349&cropY1=605&cropY2=1577,,,,,,,
83,Carl Lindner III,Lindner III,carl-lindner-iii,no-pic,-3.912,,,,M,United States,1639104902515,,,1057.825,2594.0,2594.0,,,,,,,,
84,Carmen Daurella Aguilera,Daurella Aguilera,carmen-daurella-aguilera,no-pic-female,-13.485,,Coca-Cola bottler,Food & Beverage,F,Spain,1639104902515,,,1031.175,2619.0,2619.0,,,,,,,,
85,Carsten Koerl,Koerl,carsten-koerl,no-pic,0.938,57.0,sports data,Sports,M,Germany,1639104902515,,,1691.214,1877.0,1877.0,https://specials-images.forbesimg.com/imageserve/61af89d1f769de6652a728d7/416x416.jpg?background=000000&cropX1=0&cropX2=2592&cropY1=117&cropY2=2711,,,,,,,
86,Carsten Maschmeyer,Maschmeyer,carsten-maschmeyer,no-pic,0.0,62.0,finance and investments,Finance & Investments,M,Germany,1639104902515,,,1171.893,2449.0,2449.0,,,,,,,,
87,Catherine Phillips,Phillips,catherine-phillips,no-pic-female,-49.185,,investments,Finance & Investments,F,Canada,1639104902515,,,2916.698,1127.0,1127.0,,,,,,,,
88,Chang Jing,Chang,chang-jing-1,no-pic,-31.634,39.0,technology ,Technology,M,China,1639104902515,,Beijing,1952.16,1671.0,1671.0,,,,,,,,
89,Charles Dunstone,Dunstone,charles-dunstone,charles-dunstone,-0.218,57.0,mobile phones,Telecom,M,United Kingdom,1639104902515,,,1091.224,2560.0,2560.0,//specials-images.forbesimg.com/imageserve/5e77ec8ac7b02d000666e181/416x416.jpg?background=000000&cropX1=97&cropX2=695&cropY1=50&cropY2=648,,,,,,,
90,Chatchai Kaewbootta,Kaewbootta,chatchai-kaewbootta,chatchai-kaewbootta,4.684,70.0,auto loans,Finance & Investments,M,Thailand,1639104902515,,,1264.556,2331.0,2331.0,//specials-images.forbesimg.com/imageserve/55650247e4b0bacdbd75563b/416x416.jpg?background=000000&cropX1=32&cropX2=744&cropY1=68&cropY2=780,,,,,,,
91,Chen Baohua,Chen,chen-baohua,no-pic,-1.59,59.0,pharmaceutical,Healthcare,M,China,1639104902515,,Zhejiang,1141.542,2489.0,2489.0,,,,,,,,
92,Chen Gang,Chen,chen-gang,no-pic,-50.938,53.0,solar energy,Energy,M,China,1639104902515,,Guangdong,2515.907,1344.0,1344.0,,,,,,,,
93,Chen Jiancheng,Chen,chen-jiancheng,chen-jiancheng,-95.967,62.0,manufacturing,Manufacturing,M,China,1639104902515,,Zhejiang,1841.802,1743.0,1743.0,//specials-images.forbesimg.com/imageserve/5a7c83234bbe6f2652f50098/416x416.jpg?background=000000&cropX1=826&cropX2=2788&cropY1=375&cropY2=2336,,,,,,,
94,Chen Kaichen,Chen,chen-kaichen,no-pic,0.444,,household chemicals,Manufacturing,M,China,1639104902515,,Guangdong,1783.081,1806.0,1806.0,,,,,,,,
95,Chen Shiliang,Chen,chen-shiliang,no-pic,6.339,58.0,polyester,Manufacturing,M,China,1639104902515,,Zhejiang,1611.913,1959.0,1959.0,,,,,,,,
96,Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,-33.936,48.0,online games,Technology,M,China,1639104902515,CA,California,1786.251,1799.0,1799.0,//specials-images.forbesimg.com/imageserve/5e74f5d12a573300068fdc94/416x416.jpg?background=000000&cropX1=1469&cropX2=2338&cropY1=611&cropY2=1479,,,,,,,
97,Chen Tianshi,Chen,chen-tianshi,no-pic,75.227,36.0,semiconductors,Technology,M,China,1639104902515,,Beijing,1908.645,1692.0,1692.0,,,,,,,,
98,Chen Xiaxin & family,Chen,chen-xiaxin,no-pic,31.121,59.0,industrial machinery,Diversified,M,China,1639104902515,,Zhejiang,1473.194,2100.0,2100.0,,,,,,,,
99,Chen Xuehua,Chen,chen-xuehua,no-pic,39.306,60.0,nonferrous,Metals & Mining,M,China,1639104902515,,Zhejiang,2802.562,1187.0,1187.0,,,,,,,,
100,Chen Xueling,Chen,chen-xueling,no-pic-female,25.239,54.0,stationery,Manufacturing,F,China,1639104902515,,Guangdong,1452.533,2130.0,2130.0,,,,,,,,
101,Chen Zemin & family,Chen,chen-zemin,chen-zemin,2.662,78.0,food,Food & Beverage,M,China,1639104902515,,Henan,1385.646,2197.0,2197.0,,,,,,,,
102,Chen Zhiping,Chen,chen-zhiping,no-pic,140.345,45.0,e-cigarettes,Manufacturing,M,China,1639104902515,,Guangdong,11656.276,192.0,192.0,https://specials-images.forbesimg.com/imageserve/6182c460dd603796f4e9678c/416x416.jpg?background=000000&cropX1=293&cropX2=683&cropY1=8&cropY2=398,,,,,,,
103,Cheng Antares,Cheng,cheng-antares,no-pic,4.915,64.0,liquor,Food & Beverage,M,Hong Kong,1639104902515,,,1924.228,1686.0,1686.0,,,,,,,,
104,Chengjian Zhou,Zhou,chengjian-zhou,chengjian-zhou,18.328,56.0,fashion retail,Fashion & Retail,M,China,1639104902515,,Shanghai,1523.059,2039.0,2039.0,//specials-images.forbesimg.com/imageserve/5c6ef63531358e35dd26c4da/416x416.jpg?background=000000&cropX1=0&cropX2=3648&cropY1=8&cropY2=3659,,,,,,,
105,Chetan Dube,Dube,chetan-dube,no-pic,0.0,55.0,technology,Technology,M,United States,1639104902515,NY,New York,2400.0,1406.0,1406.0,,,,,,,,
106,Chey Ki-won,Chey,chey-ki-won,chey-ki-won,-6.149,57.0,"computer services, telecom",Technology,F,South Korea,1639104902515,,,1155.225,2471.0,2471.0,//specials-images.forbesimg.com/imageserve/5c72021b4bbe6f51818ab6df/416x416.jpg?background=000000&cropX1=28&cropX2=466&cropY1=88&cropY2=526,,,,,,,
107,Chirayu Amin,Amin,chirayu-amin,chirayu-amin,-2.461,75.0,pharmaceuticals,Healthcare,M,India,1639104902515,,,1583.622,1987.0,1987.0,https://specials-images.forbesimg.com/imageserve/606f4c997d5828540a5645bf/416x416.jpg?background=000000&cropX1=560&cropX2=1152&cropY1=201&cropY2=793,,,,,,,
108,Cho Hyun-joon,Cho,cho-hyun-joon,cho-hyun-joon,17.555,53.0,diversified,Diversified,M,South Korea,1639104902515,,,1213.268,2404.0,2404.0,//specials-images.forbesimg.com/imageserve/5b69f81e31358e0429c55cb8/416x416.jpg?background=000000&cropX1=88&cropX2=617&cropY1=131&cropY2=660,,,,,,,
